population[million],1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BWA,0.524029,0.536576,0.54999,0.564316,0.57956,0.595741,0.61295,0.631276,0.65073,0.671305,0.693021,0.715811,0.739754,0.765177,0.792513,0.822029,0.85386,0.887793,0.923305,0.959666,0.996331,1.033073,1.069962,1.107103,1.144716,1.182942,1.221668,1.26072,1.300097,1.339813,1.379814,1.420098,1.460453,1.500356,1.539135,1.576291,1.611827,1.645846,1.678111,1.708368,1.736579,1.762531,1.786672,1.810438,1.83575,1.864003,1.895671,1.930431,1.967866,2.007212,2.047831,2.089706,2.132822,2.17651,2.219937,2.262485
CAF,1.503501,1.529229,1.556656,1.585765,1.616515,1.64883,1.682874,1.718558,1.75526,1.79215,1.82871,1.864757,1.900702,1.937383,1.975968,2.017379,2.061552,2.108417,2.158844,2.213888,2.274095,2.340259,2.411693,2.485666,2.558432,2.627424,2.691312,2.751163,2.80972,2.871005,2.937832,3.01095,3.089141,3.170848,3.253698,3.33584,3.417163,3.49791,3.577028,3.65331,3.726048,3.794677,3.859784,3.923294,3.987896,4.055608,4.127112,4.202104,4.280405,4.361492,4.444973,4.530903,4.6195,4.710678,4.804316,4.900274
CAN,17.909009,18.271,18.614,18.964,19.325,19.678,20.048,20.412,20.744,21.028,21.324,21.645535,21.993631,22.369408,22.774087,23.209,23.518,23.796,24.036,24.277,24.593,24.9,25.202,25.456,25.702,25.942,26.204,26.55,26.895,27.379,27.791,28.171682,28.519597,28.83341,29.111906,29.354,29.6719,29.9872,30.2479,30.4992,30.7697,31.0819,31.362,31.676,31.995,32.312,32.570505,32.887928,33.245773,33.628571,34.005274,34.34278,34.751476,35.155499,35.543658,35.851774
CHE,5.327827,5.434294,5.573815,5.694247,5.789228,5.856472,5.918002,5.991785,6.067714,6.136387,6.180877,6.213399,6.260956,6.307347,6.341405,6.338632,6.302504,6.281174,6.281738,6.294365,6.319408,6.354074,6.391309,6.418773,6.441865,6.470365,6.504124,6.545106,6.593386,6.646912,6.715519,6.799978,6.875364,6.938265,6.993795,7.040687,7.07185,7.088906,7.110001,7.143991,7.18425,7.229854,7.284753,7.339001,7.389625,7.437115,7.483934,7.551117,7.647675,7.743831,7.824909,7.912398,7.996861,8.089346,8.188649,8.286976
CHL,7.695692,7.873504,8.054166,8.237555,8.423614,8.612074,8.802926,8.99541,9.187592,9.377005,9.561868,9.741579,9.916558,10.087377,10.255074,10.42059,10.584237,10.746328,10.907901,11.070198,11.23434,11.400489,11.569135,11.742057,11.921407,12.108576,12.304203,12.507488,12.716508,12.928491,13.141202,13.354054,13.566942,13.778676,13.987999,14.193986,14.39602,14.59407,14.788609,14.980484,15.170387,15.358418,15.544554,15.729268,15.913119,16.096571,16.279728,16.462701,16.64594,16.829957,17.015048,17.201305,17.388437,17.575833,17.762647,17.948141
CHN,667.07,660.33,665.77,682.335,698.355,715.185,735.4,754.55,774.51,796.025,818.315,841.105,862.03,881.94,900.35,916.395,930.685,943.455,956.165,969.005,981.235,993.885,1008.63,1023.31,1036.825,1051.04,1066.79,1084.035,1101.63,1118.65,1135.185,1150.78,1164.97,1178.44,1191.835,1204.855,1217.55,1230.075,1241.935,1252.735,1262.645,1271.85,1280.4,1288.4,1296.075,1303.72,1311.02,1317.885,1324.655,1331.26,1337.705,1344.13,1350.695,1357.38,1364.27,1371.22
CIV,3.474724,3.602075,3.740503,3.889859,4.049675,4.219739,4.400054,4.591238,4.794399,5.010962,5.241914,5.487594,5.747633,6.021405,6.307936,6.606395,6.916302,7.237451,7.569558,7.91239,8.265549,8.629121,9.0024,9.383289,9.769105,10.158033,10.548148,10.939987,11.337122,11.744698,12.165909,12.600967,13.046907,13.499696,13.953779,14.40434,14.852193,15.29639,15.728482,16.137824,16.517948,16.865376,17.185421,17.491539,17.802516,18.132702,18.486392,18.862172,19.261647,19.684909,20.131707,20.604172,21.102641,21.62249,22.157107,22.701556
CMR,5.361367,5.474509,5.593768,5.719135,5.850454,5.987671,6.13099,6.280743,6.437157,6.600479,6.770967,6.948847,7.134374,7.327874,7.529704,7.740196,7.9595,8.18784,8.425707,8.673666,8.932121,9.201146,9.480638,9.770555,10.070779,10.381098,10.701458,11.031515,11.370394,11.716975,12.070359,12.430311,12.796739,13.1691,13.546823,13.929575,14.317191,14.709961,15.10863,15.514249,15.927713,16.349364,16.779434,17.218591,17.667576,18.126999,18.597109,19.0781,19.570418,20.074522,20.590666,21.119065,21.659488,22.211166,22.773014,23.344179
COG,1.013581,1.039966,1.067611,1.096502,1.126602,1.157905,1.190361,1.224041,1.25919,1.296137,1.33509,1.376189,1.419305,1.464052,1.50988,1.556406,1.603446,1.651134,1.699781,1.749859,1.801688,1.855391,1.9108,1.967596,2.02532,2.083648,2.142529,2.202106,2.262496,2.32389,2.386467,2.450125,2.514907,2.581306,2.649964,2.721277,2.795903,2.873638,2.953011,3.031969,3.109269,3.183883,3.256867,3.331564,3.412592,3.503086,3.604595,3.715665,3.832771,3.950786,4.066078,4.177435,4.286188,4.394334,4.504962,4.62033
COL,16.480384,16.982313,17.500166,18.033548,18.581972,19.14422,19.721464,20.311369,20.905061,21.490948,22.061214,22.611988,23.146803,23.674505,24.208022,24.756969,25.323412,25.905124,26.502172,27.11351,27.737905,28.375995,29.027158,29.687096,30.350082,31.011686,31.66978,32.324326,32.975533,33.624442,34.271563,34.91677,35.558683,36.19517,36.823539,37.44198,38.04904,38.645409,39.234059,39.819279,40.403959,40.988909,41.572493,42.152147,42.724157,43.285636,43.835744,44.374647,44.90166,45.416276,45.918101,46.406446,46.881018,47.342363,47.791393,48.228704
